title_s,journalTitle_s,fileMain_s,releasedDateY_i,Gender_Numeric_Avg,First_Gender_Value,Last_Gender_Value,numChunks,Parsed_BERTopics,Parsed_TopicsLDA,TaxoEntities_Count
"[""Exploring farmers' agrobiodiversity management practices and knowledge in clove agroforests of Madagascar""]",People and Nature,https://hal.inrae.fr/hal-03461601/document,2022,0.0,1.0,0.0,12,"{'B0': 1, 'B124': 7, 'B-1': 4}","{'L31': 2.1, 'L75': 80.43, 'L135': 10.06}","Counter({('GBIF:3183002', 'clove'): 11, ('GBIF:2762752', 'banana'): 7, ('GBIF:2762950', 'banana'): 7, ('GBIF:5204104', 'banana'): 7, ('GBIF:4270898', 'banana'): 7, ('GBIF:2762680', 'banana'): 7, ('GBIF:3060998', 'cassava'): 4, ('GBIF:4930703', 'cassava'): 4, ('GBIF:8082978', 'Gliricidia sepium'): 3, ('GBIF:2953986', 'Gliricidia sepium'): 3, ('GBIF:8322698', 'Gliricidia sepium'): 3, ('GBIF:5239316', 'Poria geoderma'): 3, ('GBIF:3152235', 'Pachira aquatica'): 2, ('GBIF:2703197', 'ma bamboo'): 2, ('GBIF:3190001', 'lychee'): 2, ('GBIF:3190002', 'lychee'): 2, ('GBIF:3183002', 'Syzygium aromaticum'): 1, ('GBIF:3075433', 'pepper'): 1, ('GBIF:2932937', 'pepper'): 1, ('GBIF:3086347', 'pepper'): 1, ('GBIF:3086351', 'pepper'): 1, ('GBIF:3086324', 'pepper'): 1, ('GBIF:2436436', 'Humans'): 1, ('GBIF:9512109', 'Ceraclea ambany'): 1, ('GBIF:4801207', 'Bamboosiella'): 1, ('GBIF:5014', 'Myrtaceae'): 1, ('GBIF:5386', 'Fabaceae'): 1, ('GBIF:6640', 'Moraceae'): 1, ('GBIF:2396', 'Rutaceae'): 1, ('GBIF:2984565', 'Artocarpus heterophyllus'): 1, ('GBIF:3190002', 'Litchi chinensis'): 1, ('GBIF:2984573', 'Artocarpus altilis'): 1, ('GBIF:8032558', 'Artocarpus altilis'): 1, ('GBIF:2760990', 'Musa'): 1, ('GBIF:2895528', 'Coffea canephora'): 1, ('GBIF:8681746', 'Coffea canephora'): 1, ('GBIF:7697890', 'Vanilla planifolia'): 1, ('GBIF:2803398', 'Vanilla planifolia'): 1, ('GBIF:9138805', 'Mafana'): 1, ('GBIF:2754367', 'Dioscorea'): 1, ('GBIF:3060998', 'Manihot esculenta'): 1, ('GBIF:2735116', 'coconut palm'): 1, ('GBIF:2735117', 'coconut palm'): 1, ('GBIF:2735117', 'Cocos nucifera'): 1, ('GBIF:2973203', 'Albizia stipulata'): 1, ('GBIF:9760125', 'Ficus ficus'): 1, ('GBIF:9715243', 'Ficus ficus'): 1, ('GBIF:5724885', 'Ficus ficus'): 1, ('GBIF:5293210', 'Raphia farinifera'): 1, ('GBIF:2891792', 'Grevillea banksii'): 1, ('GBIF:7830569', 'Ravenala madagascariensis'): 1, ('GBIF:2763095', 'Ravenala madagascariensis'): 1, ('GBIF:3189811', 'chestnut'): 1, ('GBIF:2882140', 'chestnut'): 1, ('GBIF:1768702', 'chestnut'): 1, ('GBIF:2743233', 'Vanilla'): 1, ('GBIF:1462390', 'Olivieria'): 1, ('GBIF:3239110', 'Olivieria'): 1, ('GBIF:7236510', 'Olivieria'): 1, ('GBIF:7976769', 'Pallium Schröter, 1802'): 1, ('GBIF:6008353', 'Pallium Schröter, 1802'): 1, ('GBIF:9049128', 'Camponotus bevohitra'): 1, ('GBIF:8178722', 'grass'): 1, ('GBIF:6370925', 'grass'): 1, ('GBIF:5602702', 'grass'): 1, ('GBIF:5361880', 'grass'): 1, ('GBIF:5709497', 'grass'): 1, ('GBIF:1676515', 'Mucha'): 1})"
"['Interpreting the mammal deposits of Cloggs Cave ( SE Australia), GunaiKurnai Aboriginal Country, through community‐led partnership research']",People and Nature,https://hal.science/hal-03829927/document,2024,-0.20833333333333334,-1.0,-0.5,12,"{'B0': 1, 'B4': 1, 'B51': 8, 'B135': 1, 'B-1': 1}","{'L49': 6.24, 'L135': 5.13, 'L180': 78.19, 'L189': 2.12}","Counter({('GBIF:5219788', 'Pseudomys higginsi'): 13, ('GBIF:4264849', 'Mastacomys fuscus'): 10, ('GBIF:2438300', 'Pseudomys'): 10, ('GBIF:3240710', 'Pseudomys'): 10, ('GBIF:8947231', 'Galaxias gunaikurnai'): 8, ('GBIF:2435409', 'Sminthopsis leucopus'): 5, ('GBIF:2439240', 'Rattus lutreolus'): 5, ('GBIF:952', 'frog'): 4, ('GBIF:2435377', 'Antechinus swainsonii'): 4, ('GBIF:2435386', 'Sminthopsis'): 4, ('GBIF:9605674', 'kangaroo'): 4, ('GBIF:9372', 'kangaroo'): 4, ('GBIF:8450186', 'kangaroo'): 4, ('GBIF:5219790', 'Pseudomys novaehollandiae'): 4, ('GBIF:2439233', 'Rattus fuscipes'): 4, ('GBIF:5232413', 'Tyto novaehollandiae'): 4, ('GBIF:2435357', 'Dasyurus viverrinus'): 3, ('GBIF:2435375', 'Antechinus minimus'): 3, ('GBIF:2407427', 'Swamp'): 3, ('GBIF:2435377', 'Dusky Antechinus'): 3, ('GBIF:8592757', 'Procoptodon gilli'): 3, ('GBIF:2437960', 'Conilurus albipes'): 3, ('GBIF:2439223', 'rat'): 3, ('GBIF:2479413', 'Lorius'): 3, ('GBIF:5232358', 'Tyto tenebricosa'): 2, ('GBIF:5232358', 'Sooty Owl'): 2, ('GBIF:4826229', 'Simosthenurus occidentalis'): 2, ('GBIF:2439445', 'Long-tailed Birch Mouse'): 2, ('GBIF:2437915', 'Smoky Grass Mouse'): 2, ('GBIF:2433378', 'Tachyglossus aculeatus'): 2, ('GBIF:2435448', 'Phascogale tapoatafa'): 2, ('GBIF:2435311', 'Isoodon obesulus'): 2, ('GBIF:5478', 'Peramelidae'): 2, ('GBIF:2440226', 'Cercartetus nanus'): 2, ('GBIF:2440043', 'Petaurus breviceps'): 2, ('GBIF:2440062', 'Pseudocheirus peregrinus'): 2, ('GBIF:8443680', 'common ringtail possum'): 2, ('GBIF:2440062', 'common ringtail possum'): 2, ('GBIF:8755895', 'common ringtail possum'): 2, ('GBIF:5219960', 'Acrobates pygmaeus'): 2, ('GBIF:9589697', 'Notamacropus rufogriseus'): 2, ('GBIF:9372', 'Macropodidae'): 2, ('GBIF:2438706', 'Hydromys chrysogaster'): 2, ('GBIF:5219804', 'Eastern Chestnut Pseudomys'): 2, ('GBIF:9372', 'kangaroos'): 2, ('GBIF:2438037', 'False Canyon Mouse'): 2, ('GBIF:9199', 'Agamidae'): 2, ('GBIF:9115', 'Scincidae'): 2, ('GBIF:4687963', 'Goana'): 2, ('GBIF:212', 'Aves'): 2, ('GBIF:5219786', 'Pseudomys fumeus'): 2, ('GBIF:2497827', 'Ninox strenua'): 2, ('GBIF:5219455', 'Perameles gunnii'): 2, ('GBIF:1459', 'Rodentia'): 2, ('GBIF:5510', 'Muridae'): 2, ('GBIF:9065640', 'Tyto novaehollandiae novaehollandae'): 1, ('GBIF:2221754', 'Thenus orientalis'): 1, ('GBIF:5219981', 'Macropus giganteus'): 1, ('GBIF:797', 'moths'): 1, ('GBIF:212', 'bird'): 1, ('GBIF:2440225', 'pygmy possums'): 1, ('GBIF:9374', 'ringtail possum'): 1, ('GBIF:9544811', '? insectivorus'): 1, ('GBIF:1459', 'rodents'): 1, ('GBIF:2435311', 'southern brown bandicoot'): 1, ('GBIF:5219458', 'Western Barred Bandicoot'): 1, ('GBIF:2440226', 'Eastern Pygmy Possum'): 1, ('GBIF:2206247', 'water slater'): 1, ('GBIF:4826858', 'eastern quoll'): 1, ('GBIF:2435357', 'eastern quoll'): 1, ('GBIF:5510', 'mouse'): 1, ('GBIF:5341865', 'Bush Tea'): 1, ('GBIF:5341867', 'Bush Tea'): 1, ('GBIF:5341862', 'Bush Tea'): 1, ('GBIF:2433391', 'long-beaked echidna'): 1, ('GBIF:2435375', 'Swamp Antechinus'): 1, ('GBIF:2435365', 'antechinus'): 1, ('GBIF:5478', 'bandicoot'): 1, ('GBIF:7541666', 'Potorous'): 1, ('GBIF:5219853', 'water rat'): 1, ('GBIF:2439325', 'Swamp Rat'): 1, ('GBIF:5962351', 'Le dragon'): 1, ('GBIF:2439663', 'Mouse-tailed dormouse'): 1, ('GBIF:5219798', 'Pseudomys oralis'): 1, ('GBIF:7193880', 'Vulpes vulpes vulpes'): 1, ('GBIF:9701', 'Canidae'): 1, ('GBIF:2440162', 'Thylogale billardierii'): 1, ('GBIF:7194033', 'Macropus rufogriseus rufogriseus'): 1, ('GBIF:4644806', 'Szaboa'): 1, ('GBIF:1770849', 'Bogong moth'): 1, ('GBIF:1770849', 'Agrotis infusa'): 1, ('GBIF:6176268', 'Tyto novaehollandiae castanops'): 1})"
['An ecological theory of changing human population dynamics'],People and Nature,https://hal.science/hal-02350603/document,2019,0.0,1.0,-1.0,12,"{'B-1': 1, 'B177': 11}","{'L17': 1.44, 'L19': 2.46, 'L26': 1.54, 'L29': 5.38, 'L55': 2.24, 'L58': 1.73, 'L79': 3.66, 'L89': 3.04, 'L109': 1.21, 'L135': 28.98, 'L153': 1.29, 'L180': 1.15, 'L182': 7.56, 'L185': 21.44, 'L186': 7.56, 'L189': 4.25}",Counter()
"['Local knowledge, know‐how and knowledge mobilized in a globalized world: A new approach of indigenous local ecological knowledge', 'Savoirs locaux, savoir-faire et savoirs mobilisés dans un monde globalisé: Une nouvelle approche des savoirs écologiques locaux autochtones']",People and Nature,https://shs.hal.science/halshs-02937670/document,2022,1.0,1.0,1.0,16,"{'B0': 1, 'B4': 11, 'B-1': 4}","{'L3': 1.01, 'L75': 11.89, 'L79': 1.16, 'L82': 1.34, 'L90': 1.76, 'L95': 1.7, 'L135': 39.29, 'L141': 2.55, 'L151': 1.12, 'L178': 9.22, 'L189': 16.27, 'L199': 2.11}","Counter({('GBIF:3189949', 'guarana'): 33, ('GBIF:5786457', 'Sateré Marmoset'): 3, ('GBIF:3784890', 'Paullinia cupana sorbilis'): 2, ('GBIF:7659274', 'Paullinia cupana sorbilis'): 2, ('GBIF:1701603', 'Heteracris lieutaghii'): 2, ('GBIF:8906475', 'Matuxia tuxaua'): 1, ('GBIF:2764941', 'Knowlesia'): 1, ('GBIF:2436436', 'Humans'): 1, ('GBIF:2874863', 'Bixa orellana'): 1, ('GBIF:4769176', 'Andiroba'): 1, ('GBIF:3190513', 'Carapa guianensis'): 1, ('GBIF:2874672', 'calabash'): 1, ('GBIF:5415081', 'calabash'): 1, ('GBIF:4270410', 'palm'): 1, ('GBIF:6117878', 'Cupua'): 1, ('GBIF:3152208', 'Theobroma grandiflorum'): 1, ('GBIF:4572681', 'Pintonema'): 1, ('GBIF:4922459', 'Aggerella'): 1, ('GBIF:3472', 'scallops'): 1, ('GBIF:3189949', 'Paullinia cupana'): 1, ('GBIF:2091511', 'Inglisia'): 1, ('GBIF:9172998', 'Morpho marcus marcus'): 1, ('GBIF:3189949', 'Paullinia cupana Kunth'): 1})"
['From biodiversity to health: Quantifying the impact of diverse ecosystems on human well‐being'],People and Nature,https://cnam.hal.science/hal-04080723/document,2023,0.0,-1.0,-1.0,14,"{'B-1': 11, 'B45': 2, 'B53': 1}","{'L3': 1.55, 'L49': 5.13, 'L58': 8.62, 'L100': 1.03, 'L108': 1.44, 'L135': 23.52, 'L186': 45.26}","Counter({('GBIF:4494312', 'Spilomena beata Blüthgen'): 3, ('GBIF:7976769', 'Pallium Schröter, 1802'): 2, ('GBIF:6008353', 'Pallium Schröter, 1802'): 2, ('GBIF:3850843', 'sentol'): 1, ('GBIF:3259465', 'Coula Peters & Peters, 1980'): 1, ('GBIF:4236610', 'saltmarsh aster'): 1, ('GBIF:10667422', 'saltmarsh aster'): 1, ('GBIF:2901558', 'Oxyanthus montanus Sonké'): 1})"
['What are heritage values? Integrating natural and cultural heritage into environmental valuation'],People and Nature,https://hal.inrae.fr/hal-04085146/document,2023,0.20588235294117646,1.0,1.0,15,"{'B0': 1, 'B4': 13, 'B144': 1}","{'L3': 65.33, 'L49': 4.38, 'L90': 1.18, 'L135': 17.11, 'L177': 1.38, 'L178': 1.53, 'L197': 5.21}","Counter({('GBIF:2384899', 'Red kelp'): 14, ('GBIF:495', 'eels'): 3, ('GBIF:7207559', 'Agrias pericles pericles'): 2, ('GBIF:538', 'anchovies'): 2, ('GBIF:4284157', 'anchovies'): 2, ('GBIF:7334', 'anchovies'): 2, ('GBIF:5406735', 'teaweed'): 2, ('GBIF:2874482', 'papaya'): 2, ('GBIF:7106306', 'papaya'): 2, ('GBIF:2874484', 'papaya'): 2, ('GBIF:4129724', 'Salmon wild rye'): 1, ('GBIF:7700420', 'sea pink'): 1, ('GBIF:4429528', 'Sills'): 1, ('GBIF:6961921', 'Sills'): 1, ('GBIF:9558403', 'Grey mullet'): 1, ('GBIF:9438245', 'Grey mullet'): 1, ('GBIF:2400863', 'Grey mullet'): 1, ('GBIF:9483055', 'Grey mullet'): 1, ('GBIF:5961134', 'Grey mullet'): 1, ('GBIF:1709032', 'Lagoonia'): 1, ('GBIF:9440264', 'Mormolyca prunina Arévalo'): 1, ('GBIF:9518660', 'Mormolyca prunina Arévalo'): 1, ('GBIF:8668461', 'Ojinagiceras ojinagaense'): 1, ('GBIF:7976769', 'Pallium Schröter, 1802'): 1, ('GBIF:6008353', 'Pallium Schröter, 1802'): 1, ('GBIF:2380577', 'Sea herring'): 1, ('GBIF:7059179', 'Sea herring'): 1, ('GBIF:3152652', 'cotton'): 1, ('GBIF:3152661', 'cotton'): 1})"
"['Socio‐ecological dynamics in urban systems: An integrative approach to mosquito‐borne disease in Bengaluru, India']",People and Nature,https://hal.science/hal-03953883/document,2023,0.1,1.0,0.0,12,"{'B136': 10, 'B-1': 2}","{'L46': 1.62, 'L54': 1.41, 'L73': 2.92, 'L135': 19.49, 'L189': 2.89, 'L194': 64.27, 'L197': 5.07}","Counter({('GBIF:1652950', 'Culex quinquefasciatus'): 10, ('GBIF:7924646', 'Aedes'): 4, ('GBIF:1651430', 'Aedes albopictus'): 4, ('GBIF:1651891', 'Aedes aegypti'): 3, ('GBIF:1651171', 'Aedes vittatus'): 2, ('GBIF:3346', 'mosquitoes'): 2, ('GBIF:811', 'mosquitoes'): 2, ('GBIF:3346', 'mosquito'): 2, ('GBIF:1497010', 'Culex'): 2, ('GBIF:4755059', 'Aedenus'): 1, ('GBIF:2199187', 'Arcturus'): 1, ('GBIF:7963796', 'Arcturus'): 1, ('GBIF:3247245', 'Arcturus'): 1, ('GBIF:9370800', '? hindi'): 1, ('GBIF:9533411', '? hindi'): 1, ('GBIF:1653620', 'Culex gelidus'): 1, ('GBIF:1654006', 'Armigeres subalbatus'): 1, ('GBIF:1653260', 'Culex vishnui'): 1, ('GBIF:1653127', 'Culex tritaeniorhynchus'): 1, ('GBIF:1653287', 'Culex pseudovishnui'): 1, ('GBIF:1653782', 'Culex sitiens'): 1, ('GBIF:1653337', 'Culex bitaeniorhynchus'): 1, ('GBIF:1650523', 'Anopheles subpictus'): 1, ('GBIF:1651558', 'Aedes thomsoni'): 1, ('GBIF:1652748', 'Culex mimeticus'): 1, ('GBIF:5813919', 'Mansonia uniformis'): 1, ('GBIF:1653271', 'Culex cenus'): 1, ('GBIF:7564066', 'Aira pallens Biehler'): 1, ('GBIF:2703358', 'Aira pallens Biehler'): 1, ('GBIF:3230674', 'Diptera'): 1, ('GBIF:811', 'Diptera'): 1, ('GBIF:3346', 'Culicidae'): 1, ('GBIF:6027101', 'Dickinsia'): 1, ('GBIF:4790982', 'Culex vectensis'): 1, ('GBIF:3591657', 'Franklina'): 1, ('GBIF:691', 'Rosales'): 1, ('GBIF:3231923', 'Castellanosia Cárdenas'): 1, ('GBIF:2436436', 'Humans'): 1, ('GBIF:5285172', 'stone pine'): 1, ('GBIF:9265689', '? townrowi'): 1})"
"['Sensing, feeling, thinking: Relating to nature with the body, heart and mind']",People and Nature,https://hal.science/hal-03482462/document,2023,-0.2,1.0,1.0,11,"{'B-1': 1, 'B4': 10}","{'L3': 7.96, 'L9': 1.15, 'L21': 1.38, 'L79': 2.73, 'L90': 3.84, 'L135': 44.12, 'L177': 2.4, 'L184': 13.52, 'L189': 10.75, 'L194': 1.39, 'L196': 1.89, 'L199': 1.1}","Counter({('GBIF:4270410', 'palm'): 1, ('GBIF:4526488', 'Acedes'): 1, ('GBIF:9560119', '? harronis'): 1, ('GBIF:2411047', 'Maulisia mauli'): 1, ('GBIF:4298241', 'Pae'): 1, ('GBIF:1673043', 'Synthesia'): 1, ('GBIF:3243977', 'Reinia'): 1, ('GBIF:3230660', 'Reinia'): 1})"
['Identifying links between the biodiversity impacts and monetary costs of alien birds'],People and Nature,https://hal.inrae.fr/hal-04285321/document,2023,0.0,-1.0,-1.0,14,"{'B66': 1, 'B112': 10, 'B-1': 2, 'B83': 1}","{'L10': 5.02, 'L43': 86.85, 'L49': 5.96, 'L161': 1.38}","Counter({('GBIF:2497266', 'Little Owl'): 4, ('GBIF:2489005', 'Acridotheres tristis'): 3, ('GBIF:2482499', 'Corvus splendens'): 3, ('GBIF:225', 'gastropods'): 2, ('GBIF:2495414', 'Feral Pigeon'): 2, ('GBIF:2497266', 'Athene noctua'): 2, ('GBIF:2489068', 'Bali Myna'): 2, ('GBIF:2489099', 'starling'): 2, ('GBIF:9809229', 'starling'): 2, ('GBIF:9350', 'starling'): 2, ('GBIF:2479226', 'Psittacula krameri'): 2, ('GBIF:5231398', 'Leiothrix lutea'): 2, ('GBIF:5232413', 'Australian Masked Owl'): 2, ('GBIF:6370689', 'caper'): 2, ('GBIF:5602295', 'caper'): 2, ('GBIF:8435300', 'caper'): 2, ('GBIF:3054191', 'caper'): 2, ('GBIF:2489099', 'Starlings'): 1, ('GBIF:9350', 'Starlings'): 1, ('GBIF:9809229', 'Sturnus vulgaris'): 1, ('GBIF:2978223', 'Acacia'): 1, ('GBIF:2495414', 'Columba livia'): 1, ('GBIF:2986', 'Anatidae'): 1, ('GBIF:216', 'insects'): 1, ('GBIF:2493479', 'Garrulax canorus'): 1, ('GBIF:5733795', 'Garrulax taewanus'): 1, ('GBIF:2480764', 'Threskiornis aethiopicus'): 1, ('GBIF:2482499', 'house crow'): 1, ('GBIF:2474535', 'Gallirallus australis'): 1, ('GBIF:2498305', 'ruddy duck'): 1, ('GBIF:7833330', 'ruddy duck'): 1, ('GBIF:9735737', 'ruddy duck'): 1, ('GBIF:2490719', 'Eurasian Blackbird'): 1, ('GBIF:9301796', 'weka'): 1, ('GBIF:2474535', 'weka'): 1, ('GBIF:2473598', 'peafowl'): 1, ('GBIF:5235', 'Crows'): 1, ('GBIF:2482468', 'Crows'): 1, ('GBIF:2264995', 'Rosacea sensu'): 1, ('GBIF:9409094', 'Rosacea sensu'): 1, ('GBIF:2479407', 'monk parakeet'): 1, ('GBIF:2479407', 'Myiopsitta monachus'): 1, ('GBIF:2486131', 'Pycnonotus cafer'): 1, ('GBIF:2494058', 'Ploceus cucullatus'): 1, ('GBIF:2494446', 'house finch'): 1, ('GBIF:8323485', 'Haemorhous mexicanus'): 1, ('GBIF:5232413', 'Tyto novaehollandiae'): 1, ('GBIF:2497921', 'barn owl'): 1, ('GBIF:8020995', 'barn owl'): 1, ('GBIF:5292', 'barn owl'): 1, ('GBIF:2497921', 'Tyto alba'): 1, ('GBIF:9292504', 'great horned owl'): 1, ('GBIF:5959118', 'great horned owl'): 1, ('GBIF:5959118', 'Bubo virginianus'): 1, ('GBIF:5229172', 'Swamp Harrier'): 1, ('GBIF:5229172', 'Circus approximans'): 1, ('GBIF:5227768', 'Green Junglefowl'): 1, ('GBIF:5227768', 'Gallus varius'): 1, ('GBIF:2493970', 'Black drongo'): 1, ('GBIF:2493970', 'Dicrurus macrocercus'): 1, ('GBIF:5292', 'barn owls'): 1, ('GBIF:5788594', 'Zosterops rotensis'): 1, ('GBIF:8009121', 'Bartonia'): 1, ('GBIF:3243466', 'Bartonia'): 1, ('GBIF:3169867', 'Bartonia'): 1, ('GBIF:3237772', 'Bartonia'): 1, ('GBIF:3231438', 'Bartonia'): 1, ('GBIF:4814676', 'Ramellina'): 1, ('GBIF:2498343', 'mute swan'): 1, ('GBIF:2493479', 'Chinese Hwamei'): 1, ('GBIF:4843979', 'Leucodioptron'): 1, ('GBIF:2489450', 'Australian Magpie'): 1, ('GBIF:2489450', 'Gymnorhina tibicen'): 1, ('GBIF:2482499', 'Indian house crow'): 1, ('GBIF:2474679', 'Notornis'): 1, ('GBIF:5133088', 'Danaus plexippus'): 1, ('GBIF:797', 'Lepidoptera'): 1, ('GBIF:7017', 'Nymphalidae'): 1, ('GBIF:2925900', 'gromwell'): 1, ('GBIF:2926086', 'gromwell'): 1, ('GBIF:1058687', 'Prodontria lewisi'): 1, ('GBIF:1470', 'Coleoptera'): 1, ('GBIF:10313671', 'Coleoptera'): 1, ('GBIF:5840', 'Scarabaeidae'): 1, ('GBIF:2486150', 'Pycnonotus sinensis'): 1})"
['Assessing human well‐being constructs with environmental and equity aspects: a review of the landscape'],People and Nature,https://hal.science/hal-03511302/document,2022,0.29411764705882354,0.5,1.0,17,"{'B4': 16, 'B144': 1}",{'L135': 95.59},"Counter({('GBIF:7566147', 'Carmenta'): 2, ('GBIF:7772277', 'Carmenta'): 2, ('GBIF:1434749', 'Cailloma'): 1, ('GBIF:7976769', 'Pallium Schröter, 1802'): 1, ('GBIF:6008353', 'Pallium Schröter, 1802'): 1, ('GBIF:9560119', '? harronis'): 1, ('GBIF:2411047', 'Maulisia mauli'): 1, ('GBIF:4298241', 'Pae'): 1, ('GBIF:1673043', 'Synthesia'): 1, ('GBIF:7316139', 'Serena'): 1, ('GBIF:2140884', 'Pua'): 1})"
